icd_code,diagnosis_group,expected_diagnostics,conditional_diagnostics,unnecessary_diagnostics,max_diagnostic_count,clinical_pathway_source,notes
F30.2,mania_with_psychotic_symptoms,thyroid_function_test;complete_blood_count;electrolytes;urine_drug_screen;kidney_function_test,ct_brain(if_first_episode);syphilis_serology(rule_out_neurosyphilis);hiv_screening(rule_out_neuro_hiv);calcium_level(rule_out_hypercalcemia_psychosis),tumor_markers;spirometry,8,moph_thailand_general,Medical workup essential for first manic episode with psychosis
F34.0,cyclothymia,thyroid_function_test;mood_charting_diary,urine_drug_screen(if_instability_worsens);kidney_function_test(baseline_if_lithium_considered),mri_brain;ct_brain;eeg,4,who_guidelines,Chronic instability of mood; rule out thyroid dysfunction
F34.1,dysthymia,phq_9_scale;complete_blood_count;thyroid_function_test,vitamin_d_level(if_deficiency_suspected);ferritin(if_anemia);testosterone(if_hypogonadism_symptoms_male),ct_brain;mri_brain;echocardiogram,5,moph_thailand_general,Persistent mild depression; rule out anemia and hypothyroidism
F38.1,recurrent_brief_depressive_episodes,thyroid_function_test;complete_blood_count;clinical_interview,urine_drug_screen(rule_out_substance_crash);fsh_lh(if_perimenopausal_pattern),ct_chest;tumor_markers,5,who_guidelines,Brief episodes; hormone fluctuations or substances often triggers
F42.1,ocd_predominantly_compulsive_acts,y_bocs_scale;clinical_interview,complete_blood_count(if_nutritional_neglect);liver_function_test(if_medication_planned);skin_examination(if_washing_compulsion),mri_brain;eeg;thyroid_function,4,general,Diagnosis is clinical (Y-BOCS); labs mainly for medication baseline
F44.4,dissociative_motor_disorders,neurological_examination;creatine_kinase,mri_brain_spine(rule_out_organic_paralysis);eeg(rule_out_seizure);electromyography(rule_out_neuropathy),thyroid_ultrasound;tumor_markers,5,who_guidelines,Psychogenic paralysis/movement; rule out stroke/cord compression first
F45.1,undifferentiated_somatoform_disorder,phq_15_scale;basic_metabolic_panel;review_medical_history,thyroid_function_test(if_fatigue_predominant);esr_erythrocyte_sedimentation_rate(inflammatory_screen),ct_whole_body;exploratory_surgery;repeated_mri,5,general,Avoid excessive testing which reinforces somatic fixation; rule out major metabolic issues once
F48.0,neurasthenia,complete_blood_count;thyroid_function_test;esr_erythrocyte_sedimentation_rate,epstein_barr_virus_serology(if_post_viral_fatigue);ana_screen(if_lupus_suspected);cortisol_am(if_adrenal_insufficiency_suspected),pet_scan;polysomnography(unless_sleep_apnea_signs),6,who_guidelines,"Fatigue syndrome; exclude anemia, thyroid, and autoimmune conditions"
F50.0,anorexia_nervosa,complete_blood_count;electrolytes;kidney_function_test;liver_function_test;ecg_12_lead,dexa_bone_scan(if_amenorrhea_over_6mo);phosphate_magnesium(refeeding_syndrome_risk);glucose(hypoglycemia_risk);tsh(rule_out_hyperthyroidism_weight_loss),ct_abdomen;colonoscopy,9,moph_thailand_general,Medical stability is priority; monitor for refeeding syndrome and arrhythmias
F50.2,bulimia_nervosa,electrolytes;amylase;ecg_12_lead,dental_examination(erosion_check);magnesium(if_arrhythmia_risk);esophageal_endoscopy(if_hematemesis_mallory_weiss),mri_brain;ct_head,6,moph_thailand_general,Hypokalemia is a major risk due to vomiting/laxatives
F51.0,nonorganic_insomnia,sleep_diary_2_weeks;thyroid_function_test,polysomnography(if_sleep_apnea_or_plmd_suspected);ferritin(if_restless_legs_symptoms);actigraphy(circadian_rhythm_disorder),ct_brain;mri_brain,5,general,Rule out hyperthyroidism; PSG only if organic sleep disorder suspected
F52.0,sexual_desire_disorder,testosterone_total;thyroid_function_test;prolactin,fsh_lh(if_testosterone_low);hba1c(diabetes_screen);lipid_profile(vascular_risk),mri_pelvis;doppler_ultrasound(unless_erectile_dysfunction),6,general,Hormonal screen essential for loss of libido
F53.1,puerperal_psychosis,thyroid_function_test;complete_blood_count;electrolytes;calcium,mri_brain(rule_out_venous_thrombosis);ammonia(rule_out_metabolic_encephalopathy);autoimmune_encephalitis_panel(if_atypical);urine_drug_screen,mammogram;tumor_markers,8,moph_thailand_general,Medical emergency; rule out postpartum thyroiditis and cerebral venous thrombosis
F60.3,borderline_personality_disorder,clinical_assessment_interview;urine_drug_screen,hiv_hepatitis_screen(if_impulsive_sexual_behavior);pregnancy_test(if_indicated);thyroid_function(rule_out_organic_instability),eeg;mri_brain;ct_head,5,who_guidelines,Diagnosis is clinical; labs to manage risks of impulsive behavior
F70.0,mild_intellectual_disability,iq_test_standardized;hearing_test;vision_test,chromosomal_microarray(if_dysmorphic_features);thyroid_function(if_down_syndrome_risk);eeg(if_seizure_history);lead_level(pediatric_risk),lumbar_puncture;ct_brain(unless_focal_signs),6,moph_thailand_general,Sensory deficits (hearing/vision) must be ruled out as cause of delay
F90.0,adhd_predominantly_inattentive,conners_rating_scale;vision_test;hearing_test,thyroid_function_test(if_growth_abnormal);lead_level(if_pica_or_risk);ecg(pre_stimulant_if_cardiac_history);eeg(if_absence_seizures_suspected),mri_brain;ct_brain;allergy_testing,6,moph_thailand_pediatrics,Exclude sensory deficits and absence seizures (staring spells)
F91.3,oppositional_defiant_disorder,snap_iv_scale;strengths_difficulties_questionnaire,urine_drug_screen(adolescents);iq_test(if_learning_disability_suspected);family_psychosocial_assessment,mri_brain;eeg;thyroid_function,4,moph_thailand_pediatrics,Behavioral assessment primary; rule out learning disorders and substance use
C16.9,gastric_cancer,esophagogastroduodenoscopy;biopsy_gastric;ct_abdomen_pelvis;cbc,endoscopic_ultrasound(if_staging_depth);pet_ct(if_metastasis_suspected);her2_testing(pathology);serum_cea;serum_ca19_9;diagnostic_laparoscopy(if_peritoneal_seeding_risk),barium_swallow(if_endoscopy_done);prostate_specific_antigen;mammogram,9,moph_thailand_oncology,Standard of care requires endoscopic biopsy and CT staging; assess HER2 for targeted therapy
C25.0,pancreatic_head_cancer,ct_pancreas_protocol;liver_function_test;serum_ca19_9;cbc,endoscopic_ultrasound_fna(if_mass_uncensored);mrcp(if_biliary_obstruction);serum_cea;chest_ct(staging);ptc_drainage(if_cholangitis),colonoscopy;bone_scan(unless_symptoms);thyroid_ultrasound,8,nccn_adapted_thai,CT pancreas protocol is crucial for resectability assessment; CA 19-9 baseline
C64.9,renal_cell_carcinoma,ct_urography;urinalysis;creatinine;cbc,chest_xray(metastasis_screen);bone_scan(if_bone_pain);mri_abdomen(if_inferior_vena_cava_thrombus);renal_biopsy(if_ablation_candidate),serum_ca125;pet_scan(routine_initial_staging_low_yield),7,moph_thailand_urology,Diagnosed primarily by imaging characteristics; biopsy reserved for specific non-surgical cases
C67.9,bladder_cancer,cystoscopy;turbt_biopsy;ct_urography;urine_cytology,mri_pelvis(staging_muscle_invasion);bone_scan(if_alk_phos_elevated);chest_ct(metastasis_check);renal_function_test,prostate_specific_antigen(unless_prostate_involvement);stool_exam,8,moph_thailand_urology,TURBT is diagnostic and therapeutic for non-muscle invasive disease
C15.9,esophageal_cancer,esophagogastroduodenoscopy;biopsy_esophagus;ct_chest_abdomen;cbc,endoscopic_ultrasound(locoregional_staging);pet_ct(metastasis_survey);bronchoscopy(if_upper_esophagus_tumor);barium_swallow,mammogram;colonoscopy;serum_afp,8,general_oncology_standards,Distinguish squamous cell vs adenocarcinoma; EUS critical for T/N staging
C22.0,hepatocellular_carcinoma,ct_liver_triple_phase;serum_afp;liver_function_test;viral_hepatitis_serology,mri_liver(if_ct_indeterminate);liver_biopsy(if_imaging_atypical);chest_xray;coagulation_panel(pre_procedure),serum_ca125;serum_cea(low_specificity);bone_marrow_biopsy,7,moph_thailand_gastro,Diagnosis often based on LI-RADS imaging criteria without biopsy in cirrhotics
C43.9,malignant_melanoma,excisional_biopsy_skin;physical_exam_skin;ldh,sentinel_lymph_node_biopsy(depth_dependent);ct_body(metastasis);mri_brain(if_stage_IV);braf_mutation_test,bone_scan(stage_I_II);pet_scan(stage_I);shave_biopsy(avoid_if_possible),7,general_oncology_standards,Breslow depth determines staging workup; avoid shave biopsy for suspected melanoma
C71.9,brain_neoplasm_malignant,mri_brain_contrast;cbc;stereotactic_biopsy_or_resection,ct_head(emergency);lumbar_puncture(if_csf_seeding_risk);eeg(if_seizures);molecular_markers_idh_mgmt,whole_body_ct(unless_metastasis_suspected);bone_marrow_biopsy,6,moph_thailand_neuro,"Pathology molecular markers (IDH, MGMT) essential for glioma classification"
C54.1,endometrial_cancer,endometrial_biopsy;transvaginal_ultrasound;cbc,mri_pelvis(myometrial_invasion);ct_chest_abdomen_pelvis(high_risk_histology);serum_ca125;hysteroscopy,pap_smear(low_sensitivity);colonoscopy(unless_lynch_syndrome);mammogram,7,moph_thailand_gyne,Staged surgically; imaging helps surgical planning
C62.9,testicular_cancer,scrotal_ultrasound;serum_afp;serum_beta_hcg;serum_ldh;orchiectomy_radical,ct_abdomen_pelvis(staging);chest_xray;ct_chest(if_metastasis_suspected);sperm_banking,scrotal_needle_biopsy(contraindicated_seeding_risk);pet_scan(seminoma_early_stage),8,moph_thailand_urology,Do not biopsy through scrotum; radical orchiectomy provides tissue diagnosis
C32.9,laryngeal_cancer,laryngoscopy_fiberoptic;biopsy_larynx;ct_neck_contrast,chest_ct(staging);panendoscopy;pet_scan(advanced_stage);thyroid_function_test(post_radiation),abdominal_ultrasound;colonoscopy;serum_psa,7,moph_thailand_ent,Assess vocal cord mobility and airway patency
C11.9,nasopharyngeal_carcinoma,nasopharyngoscopy;biopsy_nasopharynx;mri_head_neck;ebv_dna_load,ct_neck(lymph_nodes);pet_ct(distant_metastasis);audiogram;dental_evaluation(pre_rt),serum_afp;serum_ca125;mammogram,8,moph_thailand_ent,Endemic in region; EBV DNA useful for monitoring; MRI superior for skull base invasion
C49.9,soft_tissue_sarcoma,mri_affected_area;core_needle_biopsy,ct_chest(lung_metastasis);ct_abdomen_pelvis(retroperitoneal);pet_scan(grading_utility);molecular_genetics,fna_biopsy(often_insufficient_architecture);bone_scan,6,general_oncology_standards,Biopsy tract must be planned for future resection excision
C90.0,multiple_myeloma,serum_protein_electrophoresis;immunofixation;bone_marrow_biopsy;cbc;creatinine;serum_calcium,serum_free_light_chains;skeletal_survey_xray;low_dose_ct_whole_body;beta2_microglobulin;mri_spine(cord_compression),bone_scan(technetium_not_sensitive_for_lytic_lesions);lymph_node_biopsy,10,moph_thailand_hematology,"CRAB criteria (Calcium, Renal, Anemia, Bone); bone scan useless for lytic lesions"
C92.0,acute_myeloid_leukemia,cbc_differential;bone_marrow_aspiration;bone_marrow_biopsy;flow_cytometry,cytogenetics_karyotype;molecular_panel(flt3_npm1);coagulation_panel(promyelocytic_risk);hla_typing,pet_scan;ct_staging(unless_extramedullary_suspected);lymph_node_biopsy,8,moph_thailand_hematology,Rapid diagnosis essential; differentiate APML (M3) for urgent ATRA therapy
C81.9,hodgkin_lymphoma,excisional_lymph_node_biopsy;ct_neck_chest_abdomen_pelvis;cbc;esr,pet_ct(staging);bone_marrow_biopsy(if_pet_unavailable);pulmonary_function_test(pre_bleomycin);echocardiogram(pre_doxorubicin),fna_biopsy(insufficient);serum_tumor_markers_ca19_9,9,moph_thailand_hematology,Reed-Sternberg cells on biopsy; PET-CT standard for staging
C85.9,non_hodgkin_lymphoma,excisional_lymph_node_biopsy;ct_chest_abdomen_pelvis;cbc;ldh,bone_marrow_biopsy;pet_ct;lumbar_puncture(high_risk_cns);hepatitis_b_c_hiv_serology,fna_biopsy(insufficient_for_subtype);serum_psa,9,moph_thailand_hematology,Exact subtyping via immunohistochemistry crucial for treatment
C02.9,tongue_cancer,biopsy_tongue;ct_neck_contrast;chest_xray,mri_face_neck(soft_tissue_detail);panorex(mandible_invasion);pet_scan(advanced);nutritional_assessment,barium_swallow;serum_cea;colonoscopy,7,moph_thailand_ent,Early detection improves survival; assess depth of invasion
C48.2,peritoneal_malignancy,ct_abdomen_pelvis;paracentesis_cytology;serum_ca125;serum_cea,diagnostic_laparoscopy;colonoscopy(primary_search);mammogram(primary_search);upper_gi_endoscopy,mri_brain;bone_scan(unless_symptoms),8,general_oncology_standards,Often metastatic from GI or Ovary; rule out primary sources
C76.0,head_neck_unknown_primary,ct_neck_contrast;panendoscopy;biopsy_suspicious_areas;p16_immunohistochemistry,pet_ct;tonsillectomy_diagnostic;ebv_dna;mri_neck,mammogram;serum_psa;bone_marrow_biopsy,8,moph_thailand_ent,HPV (p16) and EBV testing help localize occult primary (oropharynx vs nasopharynx)
D05.1,ductal_carcinoma_in_situ,diagnostic_mammogram;breast_ultrasound;core_needle_biopsy,breast_mri(extent_of_disease);er_pr_receptor_test;specimen_mammography,pet_scan;bone_scan;ct_staging(not_indicated_for_stage_0),6,moph_thailand_cancer_guidelines,Stage 0 breast cancer; systemic staging not required
D12.6,colon_polyp,colonoscopy;polypectomy_pathology,ct_colonography(if_incomplete_scope);stool_occult_blood;cbc(if_bleeding),pet_scan;serum_cea(not_useful_for_benign);chemotherapy_sensitivity,4,moph_thailand_gastro,Pathology determines surveillance interval; remove to prevent malignant transformation
D32.0,meningioma,mri_brain_contrast,ct_head(calcification_bone_invasion);angiography(pre_op_embolization);visual_field_test(if_optic_nerve_near),biopsy(often_diagnosed_by_imaging);lumbar_puncture,4,moph_thailand_neuro,Typical 'dural tail' sign on MRI; observation often sufficient for small asymptomatic ones
D33.0,benign_brain_tumor_supratentorial,mri_brain_contrast,eeg(if_seizures);ct_head;pituitary_hormone_panel(if_sellar_region),whole_body_pet_scan;bone_scan,4,general_neuro,Includes gliomas of uncertain behavior or benign neuronal tumors; surveillance or surgery
D27,benign_ovarian_neoplasm,transvaginal_ultrasound;serum_ca125(risk_stratification),mri_pelvis(if_indeterminate);serum_beta_hcg(exclude_ectopic);serum_he4;afp(germ_cell_exclusion),pet_scan;needle_biopsy(risk_of_spillage),6,moph_thailand_gyne,IOTA rules or RMI score used to distinguish benign vs malignant
D46.9,myelodysplastic_syndrome,cbc_differential;reticulocyte_count;bone_marrow_biopsy;cytogenetics,serum_erythropoietin;serum_ferritin;flow_cytometry;molecular_mutation_panel,lymph_node_biopsy;pet_scan;lumbar_puncture,8,moph_thailand_hematology,Rule out nutritional anemias (B12/Folate) first; risk stratification via IPSS-R
D17.9,benign_lipomatous_neoplasm,physical_exam,ultrasound_soft_tissue(if_diagnosis_unclear);mri_soft_tissue(if_deep_or_rapid_growth);excisional_biopsy(symptomatic),ct_body;pet_scan;blood_tumor_markers,3,general_surgical,"Clinical diagnosis usually sufficient; imaging if sarcoma concern (size >5cm, deep)"
C24.0,extrahepatic_bile_duct_cancer,mrcp;serum_ca19_9;liver_function_test,ercp_brush_cytology;endoscopic_ultrasound;ct_abdomen_triphasic;serum_cea,urine_culture;bone_scan(routine),7,moph_thailand_gastro,Cholangiocarcinoma; MRCP provides road map; ERCP for tissue and stenting
C23,gallbladder_cancer,ct_abdomen_contrast;liver_function_test;serum_ca19_9,mri_liver(extent_check);diagnostic_laparoscopy;serum_cea;chest_ct,hida_scan;percutaneous_biopsy(seeding_risk_if_resectable),6,moph_thailand_gastro,Often incidental finding post-cholecystectomy; avoid percutaneous biopsy if potentially resectable
C38.3,mediastinal_tumor,ct_chest_contrast,mri_chest;mediastinoscopy_biopsy;pet_scan;serum_afp_hcg(germ_cell_tumor_rule_out),mammogram;colonoscopy;sputum_cytology,6,general_thoracic,Anterior (thymoma/germ cell) vs Posterior (neurogenic) differential guides workup
A04.5,campylobacter_enteritis,stool_culture;stool_microscopy_wbc,blood_culture(if_high_fever);stool_antigen_test(if_rapid_diagnosis_needed);electrolytes(if_signs_of_dehydration),colonoscopy(unless_chronic_bloody_diarrhea);ct_abdomen(unless_surgical_abdomen_suspected),5,moph_thailand_infectious,Common cause of bacterial gastroenteritis; specific culture media (Campy-BAP) required
A20.0,bubonic_plague,bubo_aspirate_culture;bubo_aspirate_gram_stain;bubo_aspirate_wayson_stain;cbc,blood_culture(if_septic_signs);rapid_antigen_test_f1(if_available);pcr_yersinia_pestis(confirmation),lumbar_puncture(unless_meningeal_signs);ct_chest(unless_pneumonic_signs),7,who_guidelines,Safety precautions essential during sampling; characteristic bipolar staining (safety pin appearance)
A21.0,ulceroglandular_tularemia,swab_culture_cysteine_glucose_agar;serology_francisella_tularensis,pcr_francisella(if_culture_negative);lymph_node_biopsy(if_neoplasm_differential);chest_xray(if_respiratory_symptoms),routine_blood_culture(low_yield_without_special_media);ct_abdomen,5,general_infectious,History of animal contact (rabbits/rodents) or tick bite is key; lab hazard warning required
